Accession,Character,Value
NC08-23089,Ax2* allele,H
NC08-23089,Bx7 over-expressing,A
NC08-23089,Glu 2+12 allele,P
NC08-23089,Glu 5+10 allele,A
NC08-23089,r-A1,A
NC08-23089,r-A1_Norin17,A
NC08-23089,r-B1,A
NC08-23089,r-D1,A
NC08-23089,TaSus2-2B,A
NC08-23090,Hardness,S
NC08-23090,Growth habit,W
NC08-23090,Species,aestivum
NC08-23323,Hardness,S
NC08-23323,Growth habit,W
NC08-23323,Color,W
NC08-23323,Rht-B1b,A
NC08-23323,Rht-D1b,P
NC08-23323,Ppd-D1a,P
NC08-23323,Species,aestivum
NC08-23323,Ppd-B1a_ChineseSpring,A
NC08-23323,Ppd-B1a_Sonora64,A
NC08-23323,Rht-8c,A
NC08-23323,Bdv2/3,A
NC08-23323,Fhb1,A
NC08-23323,Lr34/Yr18/Pm38,A
NC08-23323,Lr37/Yr17/Sr38,A
NC08-23323,Lr9,P
NC08-23323,Sbm1,P
NC08-23323,Sr2,A
NC08-23323,Sr24/Lr24,A
NC08-23323,Sr36,A
NC08-23323,H13,A
NC08-23323,H9,A
NC08-23323,1RS:1AL,H
NC08-23323,1RS:1BL,A
NC08-23323,Ax1 or null allele,P
NC08-23323,Ax2* allele,A
NC08-23323,Bx7 over-expressing,A
NC08-23323,Glu 2+12 allele,P
NC08-23323,Glu 5+10 allele,A
NC08-23323,r-A1,P
NC08-23323,r-B1,P
NC08-23323,r-D1,P
NC08-23323,TaSus2-2B,A
NC08-23324,Hardness,S
NC08-23324,Growth habit,W
NC08-23324,Color,R
NC08-23324,Height,short
NC08-23324,Rht-B1b,A
NC08-23324,Rht-D1b,P
NC08-23324,Ppd-D1a,A
NC08-23324,Species,aestivum
NC08-23324,Ppd-A1a.1,P
NC08-23324,Ppd-B1a_ChineseSpring,A
NC08-23324,Ppd-B1a_Sonora64,A
NC08-23324,Rht-8c,A
NC08-23324,Bdv2/3,A
NC08-23324,Fhb1,A
NC08-23324,Lr34/Yr18/Pm38,A
NC08-23324,Lr37/Yr17/Sr38,A
NC08-23324,Lr9,P
NC08-23324,Sbm1,P
NC08-23324,Sr2,A
NC08-23324,Sr24/Lr24,A
NC08-23324,Sr36,A
NC08-23324,Tsn1,A
NC08-23324,H13,A
NC08-23324,H9,A
NC08-23324,1RS:1AL,P
NC08-23324,1RS:1BL,A
NC08-23324,Ax1 or null allele,P
NC08-23324,Ax2* allele,A
NC08-23324,Bx7 over-expressing,A
NC08-23324,Glu 2+12 allele,P
NC08-23324,Glu 5+10 allele,A
NC08-23324,r-A1,P
NC08-23324,r-A1_Norin17,A
NC08-23324,r-B1,P
NC08-23324,r-D1,P
NC08-23324,TaSus2-2B,A
NC08-23383,Hardness,S
NC08-23383,Growth habit,W
NC08-23383,Species,aestivum
NC08-23925,Growth habit,W
NC08-23925,Species,aestivum
NC09-19946,Hardness,S
NC09-19946,Growth habit,W
NC09-19946,Species,aestivum
NC09-19966,Hardness,S
NC09-19966,Growth habit,W
NC09-19966,Species,aestivum
NC09-20036,Hardness,S
NC09-20036,Growth habit,W
NC09-20036,Species,aestivum
NC09-20765,Hardness,S
NC09-20765,Growth habit,W
NC09-20765,Color,R
NC09-20765,Height,short
NC09-20765,Rht-B1b,A
NC09-20765,Rht-D1b,P
NC09-20765,Ppd-D1a,P
NC09-20765,Species,aestivum
NC09-20765,Ppd-A1a.1,A
NC09-20765,Ppd-B1a_ChineseSpring,A
NC09-20765,Ppd-B1a_Sonora64,A
NC09-20765,Rht-8c,A
NC09-20765,Bdv2/3,A
NC09-20765,Fhb1,A
NC09-20765,Lr34/Yr18/Pm38,A
NC09-20765,Lr37/Yr17/Sr38,A
NC09-20765,Lr9,A
NC09-20765,Sbm1,P
NC09-20765,Sr2,A
NC09-20765,Sr24/Lr24,A
NC09-20765,Sr36,P
NC09-20765,Tsn1,A
NC09-20765,H13,A
NC09-20765,1RS:1AL,A
NC09-20765,1RS:1BL,A
NC09-20765,Ax1 or null allele,A
NC09-20765,Ax2* allele,P
NC09-20765,Bx7 over-expressing,A
NC09-20765,Glu 2+12 allele,P
NC09-20765,Glu 5+10 allele,A
NC09-20765,r-A1,P
NC09-20765,r-A1_Norin17,A
NC09-20765,r-B1,P
NC09-20765,r-D1,A
NC09-20765,TaSus2-2B,P
NC09-20768,Hardness,S
NC09-20768,Growth habit,W
NC09-20768,Color,R
NC09-20768,Awned,N
NC09-20768,Chaff,bright
NC09-20768,Height,short
NC09-20768,Rht-B1b,A
NC09-20768,Rht-D1b,P
NC09-20768,Ppd-D1a,P
NC09-20768,Species,aestivum
NC09-20768,Ppd-A1a.1,A
NC09-20768,Ppd-B1a_ChineseSpring,A
NC09-20768,Ppd-B1a_Sonora64,A
NC09-20768,Rht-8c,A
NC09-20768,Bdv2/3,A
NC09-20768,Fhb1,A
NC09-20768,Lr34/Yr18/Pm38,A
NC09-20768,Lr37/Yr17/Sr38,A
NC09-20768,Lr9,A
NC09-20768,Sbm1,P
NC09-20768,Sr2,A
NC09-20768,Sr24/Lr24,A
NC09-20768,Sr36,P
NC09-20768,Tsn1,A
NC09-20768,H13,A
NC09-20768,H9,A
NC09-20768,1RS:1AL,A
NC09-20768,1RS:1BL,A
NC09-20768,Ax1 or null allele,A
NC09-20768,Ax2* allele,P
NC09-20768,Bx7 over-expressing,A
NC09-20768,Glu 2+12 allele,P
NC09-20768,Glu 5+10 allele,A
NC09-20768,r-A1,H
NC09-20768,r-A1_Norin17,A
NC09-20768,r-B1,P
NC09-20768,r-D1,A
NC09-20768,TaSus2-2B,P
NC09-20932,Hardness,S
NC09-20932,Growth habit,W
NC09-20932,Species,aestivum
NC09-20986,Hardness,S
NC09-20986,Growth habit,W
NC09-20986,Color,W
NC09-20986,Awned,N
NC09-20986,Chaff,bright
NC09-20986,Height,short
NC09-20986,Rht-B1b,P
NC09-20986,Rht-D1b,A
NC09-20986,Ppd-D1a,H
NC09-20986,Species,aestivum
NC09-20986,Ppd-A1a.1,P
NC09-20986,Ppd-B1a_ChineseSpring,A
NC09-20986,Ppd-B1a_Sonora64,A
NC09-20986,Rht-8c,A
NC09-20986,Bdv2/3,A
NC09-20986,Fhb1,P
NC09-20986,Lr34/Yr18/Pm38,A
NC09-20986,Lr37/Yr17/Sr38,P
NC09-20986,Lr9,A
NC09-20986,Sbm1,P
NC09-20986,Sr2,A
NC09-20986,Sr24/Lr24,A
NC09-20986,Sr36,A
NC09-20986,Tsn1,A
NC09-20986,H13,A
NC09-20986,H9,H
NC09-20986,1RS:1AL,A
NC09-20986,1RS:1BL,A
NC09-20986,Ax1 or null allele,A
NC09-20986,Ax2* allele,P
NC09-20986,Bx7 over-expressing,A
NC09-20986,Glu 2+12 allele,H
NC09-20986,Glu 5+10 allele,H
NC09-20986,r-A1,A
NC09-20986,r-A1_Norin17,A
NC09-20986,r-B1,P
NC09-20986,r-D1,A
NC09-20986,TaSus2-2B,A
NC09-20986(FHB1),Hardness,S
NC09-20986(FHB1),Growth habit,W
NC09-20986(FHB1),Species,aestivum
NC09-21230,Hardness,S
NC09-21230,Growth habit,W
NC09-21230,Species,aestivum
NC09-21251,Hardness,S
NC09-21251,Growth habit,W
NC09-21251,Species,aestivum
NC09-21256,Hardness,S
NC09-21256,Growth habit,W
NC09-21256,Species,aestivum
NC09-21916,Hardness,S
NC09-21916,Growth habit,W
NC09-21916,Color,R
NC09-21916,Height,short
NC09-21916,Rht-B1b,A
NC09-21916,Rht-D1b,P
NC09-21916,Ppd-D1a,P
NC09-21916,Species,aestivum
NC09-21916,Ppd-A1a.1,P
NC09-21916,Ppd-B1a_ChineseSpring,A
NC09-21916,Ppd-B1a_Sonora64,A
NC09-21916,Rht-8c,A
NC09-21916,Bdv2/3,A
NC09-21916,Fhb1,A
NC09-21916,Lr34/Yr18/Pm38,A
NC09-21916,Lr37/Yr17/Sr38,A
NC09-21916,Lr9,A
NC09-21916,Sbm1,P
NC09-21916,Sr2,A
NC09-21916,Sr24/Lr24,A
NC09-21916,Sr36,A
NC09-21916,Tsn1,A
NC09-21916,H13,A
NC09-21916,H9,A
NC09-21916,1RS:1AL,A
NC09-21916,1RS:1BL,A
NC09-21916,Ax1 or null allele,A
NC09-21916,Ax2* allele,P
NC09-21916,Bx7 over-expressing,A
NC09-21916,Glu 2+12 allele,A
NC09-21916,Glu 5+10 allele,P
NC09-21916,r-A1,A
NC09-21916,r-A1_Norin17,A
NC09-21916,r-D1,A
NC09-21916,TaSus2-2B,A
NC09-21953,Hardness,S
NC09-21953,Growth habit,W
NC09-21953,Species,aestivum
NC09-22206,Hardness,S
NC09-22206,Growth habit,W
NC09-22206,Species,aestivum
NC09-22352,Hardness,S
NC09-22352,Growth habit,W
NC09-22352,Color,R
NC09-22352,Rht-B1b,P
NC09-22352,Rht-D1b,A
NC09-22352,Ppd-D1a,A
NC09-22352,Species,aestivum
NC09-22352,Ppd-A1a.1,P
NC09-22352,Ppd-B1a_ChineseSpring,P
NC09-22352,Ppd-B1a_Sonora64,A
NC09-22352,Rht-8c,P
NC09-22352,Bdv2/3,A
NC09-22352,Fhb1,A
NC09-22352,Lr34/Yr18/Pm38,A
NC09-22352,Lr37/Yr17/Sr38,A
NC09-22352,Lr9,A
NC09-22352,Sbm1,P
NC09-22352,Sr2,A
NC09-22352,Sr24/Lr24,A
NC09-22352,Sr36,P
NC09-22352,Tsn1,P
NC09-22352,H13,A
NC09-22352,H9,A
NC09-22352,1RS:1AL,A
NC09-22352,1RS:1BL,P
NC09-22352,Ax1 or null allele,P
NC09-22352,Ax2* allele,A
NC09-22352,Bx7 over-expressing,A
NC09-22352,Glu 2+12 allele,A
NC09-22352,Glu 5+10 allele,P
NC09-22352,r-A1,A
NC09-22352,r-A1_Norin17,A
NC09-22352,r-B1,A
NC09-22352,r-D1,A
NC09-22352,TaSus2-2B,P
NC09-22368,Hardness,S
NC09-22368,Growth habit,W
NC09-22368,Species,aestivum
NC09-22402,Hardness,S
NC09-22402,Growth habit,W
NC09-22402,Color,R
NC09-22402,Species,aestivum
NC09-22422,Hardness,S
NC09-22422,Growth habit,W
NC09-22422,Color,R
NC09-22422,Rht-B1b,H
NC09-22422,Rht-D1b,A
NC09-22422,Ppd-D1a,H
NC09-22422,Species,aestivum
NC09-22422,Ppd-B1a_ChineseSpring,A
NC09-22422,Ppd-B1a_Sonora64,A
NC09-22422,Rht-8c,A
NC09-22422,Bdv2/3,A
NC09-22422,Fhb1,P
NC09-22422,Lr34/Yr18/Pm38,A
NC09-22422,Lr37/Yr17/Sr38,P
NC09-22422,Lr9,A
NC09-22422,Sbm1,P
NC09-22422,Sr2,A
NC09-22422,Sr24/Lr24,A
NC09-22422,Sr36,A
NC09-22422,H13,A
NC09-22422,H9,P
NC09-22422,1RS:1AL,A
NC09-22422,1RS:1BL,A
NC09-22422,Ax1 or null allele,A
NC09-22422,Ax2* allele,P
NC09-22422,Bx7 over-expressing,A
NC09-22422,Glu 2+12 allele,P
NC09-22422,Glu 5+10 allele,A
NC09-22422,r-A1,P
NC09-22422,r-B1,P
NC09-22422,r-D1,A
NC09-22422,TaSus2-2B,A
NC09BGTS16,Growth habit,W
NC09BGTS16,Species,aestivum
NC09BGTUM15,Growth habit,W
NC09BGTUM15,Species,aestivum
NC10-22592,Hardness,S
NC10-22592,Growth habit,W
NC10-22592,Species,aestivum
NC10-22614,Hardness,S
NC10-22614,Growth habit,W
NC10-22614,Species,aestivum
NC10-22642,Hardness,S
NC10-22642,Growth habit,W
NC10-22642,Species,aestivum
NC10-23407,Hardness,S
NC10-23407,Growth habit,W
NC10-23407,Species,aestivum
NC10-23663,Hardness,S
NC10-23663,Growth habit,W
NC10-23663,Color,R
NC10-23663,Awned,N
NC10-23663,Chaff,bright
NC10-23663,Height,short
NC10-23663,Species,aestivum
NC10-23663(BDV2),Hardness,S
NC10-23663(BDV2),Growth habit,W
NC10-23663(BDV2),Species,aestivum
NC10-23720,Hardness,S
NC10-23720,Growth habit,W
NC10-23720,Color,R
NC10-23720,Height,short
NC10-23720,Species,aestivum
NC10-23730,Hardness,S
NC10-23730,Growth habit,W
NC10-23730,Species,aestivum
NC10-24889,Hardness,S
NC10-24889,Growth habit,W
NC10-24889,Species,aestivum
NC10-25196,Hardness,S
NC10-25196,Growth habit,W
NC10-25196,Species,aestivum
NC10-25212,Hardness,S
NC10-25212,Growth habit,W
NC10-25212,Color,R
NC10-25212,Rht-B1b,A
NC10-25212,Rht-D1b,A
NC10-25212,Ppd-D1a,A
NC10-25212,Species,aestivum
NC10-25212,Ppd-A1a.1,P
NC10-25212,Rht-8c,A
NC10-25212,Bdv2/3,A
NC10-25212,Fhb1,A
NC10-25212,Lr37/Yr17/Sr38,A
NC10-25212,Lr9,P
NC10-25212,Sbm1,A
NC10-25212,Sr2,A
NC10-25212,Sr24/Lr24,A
NC10-25212,Sr36,P
NC10-25212,Tsn1,A
NC10-25212,H13,A
NC10-25212,H9,A
NC10-25212,1RS:1AL,A
NC10-25212,1RS:1BL,A
NC10-25212,Ax1 or null allele,P
NC10-25212,Ax2* allele,A
NC10-25212,Bx7 over-expressing,A
NC10-25212,Glu 2+12 allele,A
NC10-25212,Glu 5+10 allele,P
NC10-25212,r-A1,A
NC10-25212,r-A1_Norin17,A
NC10-25212,r-B1,P
NC10-25212,r-D1,P
NC10-25212,TaSus2-2B,P
NC10014-1,Species,aestivum
NC10034-11,Hardness,S
NC10034-11,Growth habit,W
NC10034-11,Species,aestivum
NC10080-10,Species,aestivum
NC10080-103,Species,aestivum
NC10080-104,Species,aestivum
NC10080-119,Species,aestivum
NC10080-122,Species,aestivum
NC10080-63,Species,aestivum
NC10080-80,Species,aestivum
NC10157-2,Species,aestivum
NC10157-4,Species,aestivum
NC10435-11,Hardness,S
NC10435-11,Growth habit,W
NC10435-11,Color,R
NC10435-11,Height,short
NC10435-11,Rht-B1b,A
NC10435-11,Rht-D1b,P
NC10435-11,Ppd-D1a,P
NC10435-11,Species,aestivum
NC10435-11,Ppd-A1a.1,P
NC10435-11,Ppd-B1a_ChineseSpring,P
NC10435-11,Ppd-B1a_Sonora64,A
NC10435-11,Bdv2/3,A
NC10435-11,Fhb1,A
NC10435-11,Lr34/Yr18/Pm38,A
NC10435-11,Lr37/Yr17/Sr38,A
NC10435-11,Lr9,A
NC10435-11,Sbm1,P
NC10435-11,Sr2,A
NC10435-11,Sr24/Lr24,A
NC10435-11,Sr36,P
NC10435-11,Tsn1,A
NC10435-11,H13,A
NC10435-11,H9,A
NC10435-11,1RS:1AL,A
NC10435-11,1RS:1BL,A
NC10435-11,Ax1 or null allele,A
NC10435-11,Ax2* allele,P
NC10435-11,Bx7 over-expressing,A
NC10435-11,Glu 2+12 allele,P
NC10435-11,Glu 5+10 allele,A
NC10435-11,r-A1,A
NC10435-11,r-A1_Norin17,A
NC10435-11,r-B1,A
NC10435-11,r-D1,A
NC10435-11,TaSus2-2B,P
NC11-20369,Species,aestivum
NC11-20553,Species,aestivum
NC11-20564,Species,aestivum
NC11-20725,Species,aestivum
NC11-20861,Species,aestivum
NC11-21113,Species,aestivum
NC11-21307,Species,aestivum
NC11-21401,Hardness,S
NC11-21401,Growth habit,W
NC11-21401,Color,R
NC11-21401,Height,short
NC11-21401,Rht-B1b,P
NC11-21401,Rht-D1b,A
NC11-21401,Ppd-D1a,P
NC11-21401,Species,aestivum
NC11-21401,Ppd-A1a.1,P
NC11-21401,Ppd-B1a_ChineseSpring,P
NC11-21401,Ppd-B1a_Sonora64,A
NC11-21401,Rht-8c,A
NC11-21401,Bdv2/3,A
NC11-21401,Fhb1,P
NC11-21401,Lr34/Yr18/Pm38,A
NC11-21401,Lr37/Yr17/Sr38,A
NC11-21401,Lr9,P
NC11-21401,Sbm1,A
NC11-21401,Sr2,A
NC11-21401,Sr24/Lr24,A
NC11-21401,Sr36,P
NC11-21401,Tsn1,A
NC11-21401,H13,A
NC11-21401,H9,A
NC11-21401,1RS:1AL,A
NC11-21401,1RS:1BL,A
NC11-21401,Ax1 or null allele,P
NC11-21401,Ax2* allele,A
NC11-21401,Bx7 over-expressing,A
NC11-21401,Glu 2+12 allele,P
NC11-21401,Glu 5+10 allele,A
NC11-21401,r-A1,A
NC11-21401,r-A1_Norin17,A
NC11-21401,r-B1,P
NC11-21401,r-D1,P
NC11-21401,TaSus2-2B,P
NC11-21435,Species,aestivum
NC11-21447,Species,aestivum
NC11-21899,Hardness,S
NC11-21899,Growth habit,W
NC11-21899,Color,R
NC11-21899,Height,short
NC11-21899,Species,aestivum
NC11-21960,Species,aestivum
NC11-21982,Species,aestivum
NC11-22207,Species,aestivum
NC11-22233,Species,aestivum
NC11-22267,Species,aestivum
NC11-22289,Hardness,S
NC11-22289,Growth habit,W
NC11-22289,Color,R
NC11-22289,Height,short
NC11-22289,Rht-B1b,A
NC11-22289,Rht-D1b,A
NC11-22289,Ppd-D1a,A
NC11-22289,Species,aestivum
NC11-22289,Ppd-A1a.1,P
NC11-22289,Ppd-B1a_ChineseSpring,A
NC11-22289,Ppd-B1a_Sonora64,A
NC11-22289,Rht-8c,A
NC11-22289,Bdv2/3,A
NC11-22289,Fhb1,A
NC11-22289,Lr34/Yr18/Pm38,A
NC11-22289,Lr37/Yr17/Sr38,A
NC11-22289,Lr9,P
NC11-22289,Sbm1,P
NC11-22289,Sr2,A
NC11-22289,Sr24/Lr24,A
NC11-22289,Sr36,P
NC11-22289,Tsn1,A
NC11-22289,H13,A
NC11-22289,H9,A
NC11-22289,1RS:1AL,A
NC11-22289,1RS:1BL,A
NC11-22289,Ax1 or null allele,P
NC11-22289,Ax2* allele,A
NC11-22289,Bx7 over-expressing,A
NC11-22289,Glu 2+12 allele,A
NC11-22289,Glu 5+10 allele,P
NC11-22289,r-A1,A
NC11-22289,r-A1_Norin17,A
NC11-22289,r-B1,A
NC11-22289,r-D1,A
NC11-22289,TaSus2-2B,P
NC11-22291,Hardness,S
NC11-22291,Growth habit,W
NC11-22291,Color,R
NC11-22291,Height,short
NC11-22291,Rht-B1b,A
NC11-22291,Rht-D1b,A
NC11-22291,Ppd-D1a,A
NC11-22291,Species,aestivum
NC11-22291,Ppd-A1a.1,P
NC11-22291,Ppd-B1a_ChineseSpring,A
NC11-22291,Ppd-B1a_Sonora64,A
NC11-22291,Rht-8c,A
NC11-22291,Bdv2/3,A
NC11-22291,Fhb1,A
NC11-22291,Lr34/Yr18/Pm38,A
NC11-22291,Lr37/Yr17/Sr38,A
NC11-22291,Lr9,P
NC11-22291,Sbm1,P
NC11-22291,Sr2,A
NC11-22291,Sr24/Lr24,A
NC11-22291,Sr36,P
NC11-22291,Tsn1,A
NC11-22291,H13,A
NC11-22291,H9,A
NC11-22291,1RS:1AL,A
NC11-22291,1RS:1BL,A
NC11-22291,Ax1 or null allele,P
NC11-22291,Ax2* allele,A
NC11-22291,Bx7 over-expressing,A
NC11-22291,Glu 2+12 allele,A
NC11-22291,Glu 5+10 allele,P
NC11-22291,r-A1,A
NC11-22291,r-A1_Norin17,A
NC11-22291,r-B1,A
NC11-22291,r-D1,A
NC11-22291,TaSus2-2B,P
NC11-22385,Species,aestivum
NC11-22715,Species,aestivum
NC11-22904,Species,aestivum
NC11-23047,Species,aestivum
NC11-23084,Hardness,S
NC11-23084,Growth habit,W
NC11-23084,Color,R
NC11-23084,Height,short
NC11-23084,Rht-B1b,A
NC11-23084,Rht-D1b,P
NC11-23084,Ppd-D1a,A
NC11-23084,Species,aestivum
NC11-23084,Ppd-A1a.1,P
NC11-23084,Ppd-B1a_ChineseSpring,A
NC11-23084,Ppd-B1a_Sonora64,A
NC11-23084,Bdv2/3,A
NC11-23084,Fhb1,A
NC11-23084,Lr34/Yr18/Pm38,A
NC11-23084,Lr37/Yr17/Sr38,A
NC11-23084,Lr9,A
NC11-23084,Sbm1,P
NC11-23084,Sr2,A
NC11-23084,Sr24/Lr24,A
NC11-23084,Sr36,P
NC11-23084,Tsn1,A
NC11-23084,H13,A
NC11-23084,H9,A
NC11-23084,1RS:1AL,A
NC11-23084,1RS:1BL,A
NC11-23084,Ax1 or null allele,A
NC11-23084,Ax2* allele,P
NC11-23084,Bx7 over-expressing,P
NC11-23084,Glu 2+12 allele,P
NC11-23084,Glu 5+10 allele,A
NC11-23084,r-A1,P
NC11-23084,r-A1_Norin17,A
NC11-23084,r-B1,P
NC11-23084,r-D1,A
NC11-23084,TaSus2-2B,A
NC11-23270,Species,aestivum
NC11-23321,Hardness,S
NC11-23321,Growth habit,W
NC11-23321,Color,R
NC11-23321,Height,short
NC11-23321,Species,aestivum
NC12-20661,Species,aestivum
NC12-20662,Hardness,S
NC12-20662,Growth habit,W
NC12-20662,Color,R
NC12-20662,Height,short
NC12-20662,Rht-B1b,A
NC12-20662,Rht-D1b,P
NC12-20662,Ppd-D1a,H
NC12-20662,Species,aestivum
NC12-20662,Ppd-A1a.1,A
NC12-20662,Ppd-B1a_ChineseSpring,P
NC12-20662,Ppd-B1a_Sonora64,A
NC12-20662,Bdv2/3,A
NC12-20662,Fhb1,A
NC12-20662,Lr34/Yr18/Pm38,A
NC12-20662,Lr37/Yr17/Sr38,A
NC12-20662,Lr9,P
NC12-20662,Sbm1,P
NC12-20662,Sr2,A
NC12-20662,Sr24/Lr24,A
NC12-20662,Sr36,P
NC12-20662,Tsn1,A
NC12-20662,H13,A
NC12-20662,H9,A
NC12-20662,1RS:1AL,A
NC12-20662,1RS:1BL,A
NC12-20662,Ax1 or null allele,A
NC12-20662,Ax2* allele,P
NC12-20662,Bx7 over-expressing,A
NC12-20662,Glu 2+12 allele,A
NC12-20662,Glu 5+10 allele,P
NC12-20662,r-A1,A
NC12-20662,r-A1_Norin17,A
NC12-20662,r-B1,P
NC12-20662,r-D1,A
NC12-20662,TaSus2-2B,P
NC12-20725,Species,aestivum
NC12-20785,Species,aestivum
NC12-20835,Species,aestivum
NC12-20850,Species,aestivum
NC12-20859,Species,aestivum
NC12-20914,Species,aestivum
NC12-20949,Species,aestivum
NC12-21029,Species,aestivum
NC12-21164,Species,aestivum
NC12-21166,Species,aestivum
NC12-21224,Species,aestivum
NC12-21294,Species,aestivum
NC12-21495,Species,aestivum
NC12-21508,Species,aestivum
NC12-21531,Species,aestivum
NC12-21544,Species,aestivum
NC12-21568,Species,aestivum
NC12-21719,Species,aestivum
NC12-21862,Species,aestivum
NC12-21934,Species,aestivum
NC12-21937,Species,aestivum
NC12-21940,Species,aestivum
NC12-22097,Species,aestivum
NC12-22102,Species,aestivum
NC12-22225,Hardness,S
NC12-22225,Growth habit,W
NC12-22225,Color,R
NC12-22225,Height,short
NC12-22225,Rht-B1b,H
NC12-22225,Rht-D1b,A
NC12-22225,Ppd-D1a,P
NC12-22225,Species,aestivum
NC12-22225,Ppd-A1a.1,A
NC12-22225,Ppd-B1a_ChineseSpring,P
NC12-22225,Ppd-B1a_Sonora64,A
NC12-22225,Bdv2/3,A
NC12-22225,Fhb1,P
NC12-22225,Lr34/Yr18/Pm38,A
NC12-22225,Lr37/Yr17/Sr38,A
NC12-22225,Lr9,A
NC12-22225,Sbm1,P
NC12-22225,Sr2,A
NC12-22225,Sr24/Lr24,P
NC12-22225,Sr36,P
NC12-22225,Tsn1,A
NC12-22225,H13,A
NC12-22225,H9,A
NC12-22225,1RS:1AL,A
NC12-22225,1RS:1BL,A
NC12-22225,Ax1 or null allele,P
NC12-22225,Ax2* allele,A
NC12-22225,Bx7 over-expressing,A
NC12-22225,Glu 2+12 allele,P
NC12-22225,Glu 5+10 allele,A
NC12-22225,r-A1,A
NC12-22225,r-A1_Norin17,A
NC12-22225,r-B1,P
NC12-22225,r-D1,P
NC12-22225,TaSus2-2B,P
NC12-22401,Species,aestivum
NC12-22494,Species,aestivum
NC12-22686,Species,aestivum
NC12-22689,Species,aestivum
NC12-22714,Species,aestivum
NC12-22768,Species,aestivum
NC12-22842,Species,aestivum
NC12-22844,Species,aestivum
NC12-22846,Species,aestivum
NC12-22848,Species,aestivum
NC12-22981,Species,aestivum
NC12-23069,Species,aestivum
NC12-23090,Species,aestivum
NC12-23168,Species,aestivum
NC12-23204,Species,aestivum
NC12-23211,Species,aestivum
NC12-23219,Hardness,S
NC12-23219,Growth habit,W
NC12-23219,Color,R
NC12-23219,Height,short
NC12-23219,Rht-B1b,P
NC12-23219,Rht-D1b,A
NC12-23219,Ppd-D1a,P
NC12-23219,Species,aestivum
NC12-23219,Ppd-A1a.1,P
NC12-23219,Ppd-B1a_ChineseSpring,A
NC12-23219,Ppd-B1a_Sonora64,A
NC12-23219,Bdv2/3,A
NC12-23219,Fhb1,A
NC12-23219,Lr34/Yr18/Pm38,A
NC12-23219,Lr37/Yr17/Sr38,P
NC12-23219,Lr9,A
NC12-23219,Sbm1,P
NC12-23219,Sr2,A
NC12-23219,Sr24/Lr24,A
NC12-23219,Sr36,A
NC12-23219,Tsn1,A
NC12-23219,H13,A
NC12-23219,H9,A
NC12-23219,1RS:1AL,A
NC12-23219,1RS:1BL,A
NC12-23219,Ax1 or null allele,P
NC12-23219,Ax2* allele,A
NC12-23219,Bx7 over-expressing,H
NC12-23219,Glu 2+12 allele,H
NC12-23219,Glu 5+10 allele,H
NC12-23219,r-A1,A
NC12-23219,r-A1_Norin17,A
NC12-23219,r-B1,A
NC12-23219,r-D1,A
NC12-23219,TaSus2-2B,A
NC12-23245,Species,aestivum
NC12-23248,Species,aestivum
NC12-23331,Species,aestivum
NC12-23349,Species,aestivum
NC12-23354,Species,aestivum
NC12-23427,Species,aestivum
NC12-23550,Species,aestivum
NC12-23573,Species,aestivum
NC12-23575,Species,aestivum
NC12-23576,Hardness,S
NC12-23576,Growth habit,W
NC12-23576,Color,R
NC12-23576,Height,short
NC12-23576,Rht-D1b,P
NC12-23576,Ppd-D1a,P
NC12-23576,Species,aestivum
NC12-23576,Ppd-A1a.1,A
NC12-23576,Ppd-B1a_ChineseSpring,A
NC12-23576,Ppd-B1a_Sonora64,A
NC12-23576,Bdv2/3,A
NC12-23576,Fhb1,A
NC12-23576,Lr34/Yr18/Pm38,A
NC12-23576,Lr37/Yr17/Sr38,P
NC12-23576,Lr9,A
NC12-23576,Sbm1,P
NC12-23576,Sr2,A
NC12-23576,Sr24/Lr24,A
NC12-23576,Sr36,A
NC12-23576,Tsn1,A
NC12-23576,H13,A
NC12-23576,H9,A
NC12-23576,1RS:1AL,A
NC12-23576,1RS:1BL,A
NC12-23576,Ax1 or null allele,H
NC12-23576,Ax2* allele,H
NC12-23576,Bx7 over-expressing,A
NC12-23576,Glu 2+12 allele,P
NC12-23576,Glu 5+10 allele,A
NC12-23576,r-A1,A
NC12-23576,r-A1_Norin17,A
NC12-23576,r-B1,P
NC12-23576,r-D1,A
NC12-23576,TaSus2-2B,P
NC12-23582,Species,aestivum
NC12-23781,Species,aestivum
NC13-20076,Hardness,S
NC13-20076,Growth habit,W
NC13-20076,Color,R
NC13-20076,Height,short
NC13-20076,Rht-B1b,A
NC13-20076,Rht-D1b,P
NC13-20076,Ppd-D1a,P
NC13-20076,Species,aestivum
NC13-20076,Ppd-A1a.1,A
NC13-20076,Ppd-B1a_ChineseSpring,A
NC13-20076,Ppd-B1a_Sonora64,A
NC13-20076,Bdv2/3,A
NC13-20076,Fhb1,A
NC13-20076,Lr34/Yr18/Pm38,A
NC13-20076,Lr37/Yr17/Sr38,A
NC13-20076,Lr9,A
NC13-20076,Sbm1,H
NC13-20076,Sr2,A
NC13-20076,Sr24/Lr24,A
NC13-20076,Sr36,H
NC13-20076,Tsn1,A
NC13-20076,H13,A
NC13-20076,H9,A
NC13-20076,1RS:1AL,A
NC13-20076,1RS:1BL,A
NC13-20076,Ax1 or null allele,H
NC13-20076,Ax2* allele,H
NC13-20076,Bx7 over-expressing,A
NC13-20076,Glu 2+12 allele,P
